"site_code","date","GRD","UND","CAN"
"TER-EXO-T01",2023-08-09,NA,NA,NA
"TER-EXO-T01",2023-08-10,NA,NA,NA
"TER-EXO-T01",2023-08-11,NA,NA,NA
"TER-EXO-T01",2023-08-12,NA,NA,NA
"TER-EXO-T01",2023-08-13,NA,NA,NA
"TER-EXO-T01",2023-08-14,NA,NA,NA
"TER-EXO-T01",2023-08-15,NA,NA,NA
"TER-EXO-T01",2023-08-16,NA,NA,NA
"TER-EXO-T01",2023-08-17,NA,NA,NA
"TER-EXO-T01",2023-08-18,NA,NA,NA
"TER-EXO-T01",2023-08-19,NA,NA,NA
"TER-EXO-T01",2023-08-20,NA,NA,NA
"TER-EXO-T01",2023-08-21,NA,NA,NA
"TER-EXO-T01",2023-08-22,NA,NA,NA
"TER-EXO-T01",2023-08-23,NA,NA,NA
"TER-EXO-T01",2023-08-24,NA,NA,NA
"TER-EXO-T01",2023-08-25,NA,NA,NA
"TER-EXO-T01",2023-08-26,NA,NA,NA
"TER-EXO-T01",2023-08-27,NA,NA,NA
"TER-EXO-T01",2023-08-28,NA,NA,NA
"TER-EXO-T01",2023-08-29,NA,NA,NA
"TER-EXO-T01",2023-08-30,NA,NA,NA
"TER-EXO-T01",2023-08-31,NA,NA,NA
"TER-EXO-T01",2023-09-01,NA,NA,NA
"TER-EXO-T01",2023-09-02,NA,NA,NA
"TER-EXO-T01",2023-09-03,NA,NA,NA
"TER-EXO-T01",2023-09-04,NA,NA,NA
"TER-EXO-T01",2023-09-05,NA,NA,NA
"TER-EXO-T01",2023-09-06,NA,NA,NA
"TER-EXO-T01",2023-09-07,NA,NA,NA
"TER-EXO-T01",2023-09-08,NA,NA,NA
"TER-EXO-T01",2023-09-09,NA,NA,NA
"TER-EXO-T01",2023-09-10,NA,NA,NA
"TER-EXO-T01",2023-09-11,NA,NA,NA
"TER-EXO-T01",2023-09-12,NA,NA,NA
"TER-EXO-T01",2023-09-13,NA,NA,NA
"TER-EXO-T01",2023-09-14,NA,NA,NA
"TER-EXO-T01",2023-09-15,NA,NA,NA
"TER-EXO-T01",2023-09-16,NA,NA,NA
"TER-EXO-T01",2023-09-17,NA,NA,NA
"TER-EXO-T01",2023-09-18,NA,NA,NA
"TER-EXO-T01",2023-09-19,NA,NA,NA
"TER-EXO-T01",2023-09-20,NA,NA,NA
"TER-EXO-T01",2023-09-21,NA,NA,NA
"TER-EXO-T01",2023-09-22,NA,NA,NA
"TER-EXO-T01",2023-09-23,NA,NA,NA
"TER-EXO-T01",2023-09-24,NA,NA,NA
"TER-EXO-T01",2023-09-25,NA,NA,NA
"TER-EXO-T01",2023-09-26,NA,NA,NA
"TER-EXO-T01",2023-09-27,NA,NA,NA
"TER-EXO-T01",2023-09-28,NA,NA,NA
"TER-EXO-T01",2023-09-29,NA,NA,NA
"TER-EXO-T01",2023-09-30,NA,NA,NA
